ticker,fiscal_year_t,target_year,temporal_folds,predictor_year_gregorian_offset621,predictor_year_gregorian_offset622,cpi_constructible_offset621,cpi_constructible_offset622,fx_constructible_offset621,fx_constructible_offset622,both_constructible_offset621,both_constructible_offset622,fx_zero_change_offset621,fx_zero_change_offset622,status_invariant_across_calendar_conventions,cpi_constructible,fx_constructible,both_constructible,fx_zero_change
بالبر,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
بالبر,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
بالبر,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
بالبر,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
بالبر,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
بترانس,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
بترانس,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
بترانس,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
بترانس,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
بترانس,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
بترانس,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
بموتو,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
بموتو,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
بموتو,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
بموتو,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
بموتو,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
بموتو,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
بموتو,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
بکاب,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
بکاب,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
بکاب,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
بکاب,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
بکام,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
بکام,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
تپمپی,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
تپمپی,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
تپمپی,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
تپمپی,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
تپمپی,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
تپمپی,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
تکمبا,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
تکمبا,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
تکمبا,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
تکمبا,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
تکمبا,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
تکمبا,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
ثشرق,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
ثشرق,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
ثشرق,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
ثشرق,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
ثشرق,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
ثنوسا,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
ثنوسا,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
ثنوسا,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
ثنوسا,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
ثنوسا,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
ثنوسا,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
ثنوسا,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
جم,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
جم,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
جم,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
جم,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
جم,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
جم پیلن,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
حپترو,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
حپترو,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
حپترو,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
حپترو,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
حپترو,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
حپترو,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
حپترو,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
حکشتی,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
حکشتی,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
حکشتی,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
حکشتی,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
حکشتی,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
حکشتی,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
خاذین,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
خاذین,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
خاذین,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
خاذین,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
خاذین,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
خاذین,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
خبهمن,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
خبهمن,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
خبهمن,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
خبهمن,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
خبهمن,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
خبهمن,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
ختوقا,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
ختوقا,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
ختوقا,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
ختوقا,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
ختوقا,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
ختوقا,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
ختوقا,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
خرینگ,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
خرینگ,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
