archive_edition_id,official_archive_url,edition_date_token,edition_date_token_current_status,relevant_to_development_cutoff,earliest_relevant_cutoff,latest_relevant_cutoff,already_retained_by_prior_capture,requested_official_release_date,requested_official_release_month_confirmation,note
WDI_2005_04,https://databank.worldbank.org/data/download/archive/WDI_2005_04.zip,2005-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2005_09,https://databank.worldbank.org/data/download/archive/WDI_2005_09.zip,2005-09,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2006_04,https://databank.worldbank.org/data/download/archive/WDI_2006_04.zip,2006-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2006_09,https://databank.worldbank.org/data/download/archive/WDI_2006_09.zip,2006-09,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2007_04,https://databank.worldbank.org/data/download/archive/WDI_2007_04.zip,2007-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2007_09,https://databank.worldbank.org/data/download/archive/WDI_2007_09.zip,2007-09,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2008_04,https://databank.worldbank.org/data/download/archive/WDI_2008_04.zip,2008-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2008_09,https://databank.worldbank.org/data/download/archive/WDI_2008_09.zip,2008-09,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2008_12,https://databank.worldbank.org/data/download/archive/WDI_2008_12.zip,2008-12,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2009_05,https://databank.worldbank.org/data/download/archive/WDI_2009_05.zip,2009-05,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2009_10,https://databank.worldbank.org/data/download/archive/WDI_2009_10.zip,2009-10,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
