request_id,object_id,request_url,final_url,purpose,requested_utc,completed_utc,http_status,redirect_count,redirect_chain,raw_sha256,retained_byte_count,raw_artifact_path,official_host,duplicate_of_prior_capture,is_archive_zip_download,blocker_targeted,evidence_relevance,changed_blocker_1_archive_release_availability,changed_blocker_2_fx_semantic_continuity,note
docget_01,datahelpdesk_root_probe,https://datahelpdesk.worldbank.org/,https://datahelpdesk.worldbank.org/,official support channel reachability probe before preparing the inquiry,2026-08-03T22:56:00Z,2026-08-03T22:56:01Z,200,0,,,0,,True,False,False,channel_reachability,none,False,False,"reachability probe only; the body was discarded and retained no bytes, so it is not evidence"
docget_02,wb_helpdesk_wdi_topic,https://datahelpdesk.worldbank.org/knowledgebase/topics/19286-world-development-indicators-wdi,https://datahelpdesk.worldbank.org/knowledgebase/topics/19286-world-development-indicators-wdi,official Data Help Desk WDI topic index: locate release-calendar / archive-edition documentation,2026-08-03T22:55:04Z,2026-08-03T22:55:06Z,200,0,,72e81439b5588b79d18d6d2eb90f0a6b18767e0741811676d347a85d67b15b17,233525,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_wdi_topic.html,True,False,False,blocker_1_archive_release_availability,navigational,False,False,"official WDI topic index; links to Data Updates and Compilation Methodology, no release-date record for archive editions"
docget_03,wb_helpdesk_data_updates_topic,https://datahelpdesk.worldbank.org/knowledgebase/topics/19282-data-updates,https://datahelpdesk.worldbank.org/knowledgebase/topics/19282-data-updates,official Data Updates topic: does an official release calendar / edition log exist for WDI archive editions,2026-08-03T22:55:16Z,2026-08-03T22:55:18Z,200,0,,38177b55a60c1b83ed2049a5a53c768e449bcc9d07b82a73a89e8b4555f2e192,231961,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_data_updates_topic.html,True,False,False,blocker_1_archive_release_availability,navigational,False,False,official Data Updates topic index; no archive-edition release log
docget_04,wb_helpdesk_methodology_topic,https://datahelpdesk.worldbank.org/knowledgebase/topics/19373-data-compilation-methodology,https://datahelpdesk.worldbank.org/knowledgebase/topics/19373-data-compilation-methodology,official methodology topic: PA.NUS.FCRF denomination / valuation / unit-continuity documentation,2026-08-03T22:55:18Z,2026-08-03T22:55:21Z,200,0,,a23310788c2085512f079c9d04e96e716e50db496d2ddbfa2dc09d6f573a8d51,233967,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_methodology_topic.html,True,False,False,blocker_2_fx_semantic_continuity,navigational,False,False,official Data Compilation Methodology index; no Iranian denomination or unit-break article
docget_05,wb_kb_data_updates_and_errata,https://datahelpdesk.worldbank.org/knowledgebase/articles/906522-data-updates-and-errata,https://datahelpdesk.worldbank.org/knowledgebase/articles/906522-data-updates-and-errata,blocker 1: official statement on WDI update/release schedule and archive edition publication dates,2026-08-03T22:55:38Z,2026-08-03T22:55:40Z,200,0,,2da8b1bd692ed0d5778a3e8b673b58cf6adf4c3c71e02b2bdf4257ad214413d7,340548,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_kb_data_updates_and_errata.html,True,False,False,blocker_1_archive_release_availability,partial_non_resolving,False,False,"official dated announcements of WDI DATABASE updates for 2010-2024. They are database-update statements, not archive-edition publication records, and several announced dates differ from the archive filename tokens, so they cannot be mapped onto an edition without official confirmation"
docget_06,wb_kb_atlas_method_detailed,https://datahelpdesk.worldbank.org/knowledgebase/articles/378832-the-world-bank-atlas-method-detailed-methodology,https://datahelpdesk.worldbank.org/knowledgebase/articles/378832-the-world-bank-atlas-method-detailed-methodology,blocker 2: official methodology for official exchange rate (LCU per US$) valuation and period-average semantics,2026-08-03T22:55:40Z,2026-08-03T22:55:42Z,200,0,,5e6d853a8a9e6fd7ed63c50a4c97687e57851c2d609c0c3ba8886415c8518e42,247684,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_kb_atlas_method_detailed.html,True,False,False,blocker_2_fx_semantic_continuity,partial_non_resolving,False,False,"official Atlas-method methodology covering alternative conversion factors; it does not state the Iranian local-currency denomination, valuation convention or any redenomination/unit break"
docget_07,wdi_release_note_toc,https://datatopics.worldbank.org/world-development-indicators/release-note-toc.html,https://datatopics.worldbank.org/world-development-indicators/release-note-toc.html,"blocker 1: official WDI release-notes table of contents — does an official, dated release log exist for editions",2026-08-03T22:57:28Z,2026-08-03T22:57:30Z,200,0,,483022eee912ee04df6ea703ef23be2b1e5639e59d87769f250339b4e0d42360,74106,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wdi_release_note_toc.html,True,False,False,blocker_1_archive_release_availability,partial_non_resolving,False,False,official WDI release notes exist only from December 2024 onward; no official release note covers the historical editions behind the 37 development cutoffs
docget_08,wb_kb_calendar_year_reporting,https://datahelpdesk.worldbank.org/knowledgebase/articles/201203-are-all-wdi-series-on-a-calendar-year-reporting-pe,https://datahelpdesk.worldbank.org/knowledgebase/articles/201203-are-all-wdi-series-on-a-calendar-year-reporting-pe,blocker 2 support: official statement on WDI annual/calendar-year reporting semantics,2026-08-03T22:57:30Z,2026-08-03T22:57:31Z,200,0,,cfddbed21c93134c0a8f1a6fb5372fab98465ab5f1b7601d7bb1a9e38cbe9d1c,232871,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_kb_calendar_year_reporting.html,True,False,False,blocker_2_fx_semantic_continuity,partial_non_resolving,False,False,official statement that fiscal-year reporting is assigned to a calendar year; supports annual period semantics but says nothing about currency denomination or unit continuity
docget_09,wb_data_pa_nus_fcrf_irn,https://data.worldbank.org/indicator/PA.NUS.FCRF?locations=IR,https://data.worldbank.org/indicator/PA.NUS.FCRF?locations=IR,"blocker 2: official indicator page for PA.NUS.FCRF, Iran — definition, unit, valuation and metadata source",2026-08-03T22:58:27Z,2026-08-03T22:58:30Z,200,0,,4277ca3f819b021a81b2073d17e0aaa2a3495b5417db40a4fef5f3b3d0707ea7,1147563,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_data_pa_nus_fcrf_irn.html,True,False,False,blocker_2_fx_semantic_continuity,partial_non_resolving,False,False,official indicator page for PA.NUS.FCRF / Iran confirms only the series title and the IMF IFS source; the title alone is explicitly insufficient for unit continuity
docget_10,wb_helpdesk_all_articles_index,https://datahelpdesk.worldbank.org/knowledgebase/articles/all,https://datahelpdesk.worldbank.org/knowledgebase/articles/all,discovery: full official Help Desk article index — locate any archive-release or currency-denomination article,2026-08-03T22:58:47Z,2026-08-03T22:58:49Z,200,0,,2649685e1f4fff12d0f86c600b229109a64ace58074ea3a604cb4853fb7e5204,263983,project/stage128/m3i2_final_official_documentary_recovery/raw_official_documents/wb_helpdesk_all_articles_index.html,True,False,False,both_blockers,negative_result,False,False,the complete official Help Desk article index contains no article on archive release dates and none on Iranian rial denomination or redenomination
