object_id,role,request_url,request_method,request_headers_json,attempt_number,started_utc,ended_utc,elapsed_seconds
wb_wdi_archive_listing,wdi_archive_release_listing_discovery_root,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,GET,"{""Accept"": ""text/html,application/xhtml+xml"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:35:03Z,2026-08-03T10:35:03Z,0.655
wb_databank_archives,databank_archives_discovery_root,https://databank.worldbank.org/databases/archives,GET,"{""Accept"": ""text/html,application/xhtml+xml"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:35:03Z,2026-08-03T10:35:07Z,3.517
wb_cpi_series_metadata,locked_cpi_indicator_official_metadata,https://databank.worldbank.org/metadataglossary/world-development-indicators/series/FP.CPI.TOTL.ZG,GET,"{""Accept"": ""text/html,application/xhtml+xml"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:35:07Z,2026-08-03T10:35:09Z,1.935
wb_fx_series_metadata,locked_fx_indicator_official_metadata,https://databank.worldbank.org/metadataglossary/world-development-indicators/series/PA.NUS.FCRF,GET,"{""Accept"": ""text/html,application/xhtml+xml"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:35:09Z,2026-08-03T10:35:11Z,1.94
imf_mfs_ir_dataset_page,imf_financing_dataset_discovery_root,https://data.imf.org/en/datasets/IMF.STA%3AMFS_IR,GET,"{""Accept"": ""text/html,application/xhtml+xml"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:35:11Z,2026-08-03T10:35:12Z,1.064
wdi_archive_WDI_2017_09_19,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_09_19.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:48:44Z,2026-08-03T10:49:19Z,34.89
wdi_archive_WDI_2017_12_22,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_12_22.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:49:19Z,2026-08-03T10:49:50Z,31.627
wdi_archive_WDI_2018_02_22,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_02_22.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:49:51Z,2026-08-03T10:50:10Z,19.113
wdi_archive_WDI_2018_04_18,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_04_18.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:50:10Z,2026-08-03T10:50:30Z,20.55
wdi_archive_WDI_2018_05_21,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_05_21.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:50:30Z,2026-08-03T10:51:02Z,31.263
wdi_archive_WDI_2018_07_27,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_07_27.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:51:02Z,2026-08-03T10:51:29Z,27.56
wdi_archive_WDI_2018_10_18,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_10_18.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:51:30Z,2026-08-03T10:51:55Z,24.991
wdi_archive_WDI_2018_11_14,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_11_14.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:51:55Z,2026-08-03T10:52:26Z,31.68
wdi_archive_WDI_2019_03_21,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_03_21.zip,GET,"{""Accept"": ""application/zip,application/octet-stream"", ""User-Agent"": ""papermali-research/stage128-m3i2-official-source-evidence-capture (academic credit-risk research; contact via repository abtinasg/papermali)""}",1,2026-08-03T10:52:26Z,2026-08-03T10:52:55Z,28.071
