object_id,role,request_url,attempt_number,status_code,final_url,redirect_chain_json,response_headers_json,content_type,content_encoding,byte_length,sha256,raw_body_filename,capture_result,error_text,retrieval_timestamp_utc
wb_wdi_archive_listing,wdi_archive_release_listing_discovery_root,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,1,200,https://datatopics.worldbank.org/world-development-indicators/wdi-archives.html,[],"{""Accept-Ranges"": ""bytes"", ""CF-Cache-Status"": ""DYNAMIC"", ""CF-Ray"": ""a254ac61de61dcc8-FRA"", ""Connection"": ""close"", ""Content-Length"": ""71312"", ""Content-Type"": ""text/html"", ""Date"": ""Mon, 03 Aug 2026 10:35:03 GMT"", ""ETag"": ""\""926ac9f763bcdc1:0\"""", ""Last-Modified"": ""Wed, 25 Mar 2026 14:30:45 GMT"", ""Server"": ""cloudflare"", ""Set-Cookie"": ""datatopics.cookie=3846db5a842da317201c8e9b3883e41c; Path=/"", ""X-Powered-By"": ""ASP.NET"", ""set-cookie"": ""_cfuvid=wQwsSyhPP1q66gRlNAvNsY0YuLA35Ur05BqSGsuxPcs-1785753303.335194-1.0.1.1-CUMssZZ_LTTUDmQg18w_KPx6Q7LCVcfFUfsPHxaRBxs; HttpOnly; SameSite=None; Secure; Path=/; Domain=worldbank.org""}",text/html,,71312,100f3ad8efef9483206306115876f972e1a117b8af1863a0e5ae27ffe8defd8e,100f3ad8efef9483__wdi-archives.html.attempt1,SUCCESS,,2026-08-03T10:35:03Z
wb_databank_archives,databank_archives_discovery_root,https://databank.worldbank.org/databases/archives,1,200,https://databank.worldbank.org/databases/archives,[],"{""Access-Control-Expose-Headers"": ""Request-Context"", ""CF-Cache-Status"": ""BYPASS"", ""CF-Ray"": ""a254ac664e9395b3-FRA"", ""Cache-Control"": ""private,no-cache, no-store"", ""Connection"": ""close"", ""Content-Type"": ""text/html; charset=utf-8"", ""Date"": ""Mon, 03 Aug 2026 10:35:07 GMT"", ""Request-Context"": ""appId=cid-v1:160388bd-377d-400a-bfb5-4b6a67df9047"", ""Server"": ""cloudflare"", ""Set-Cookie"": ""ARRAffinitySameSite=de05b342bfa7816b86cf467ecc947b8c2d1419d8d518ac9f49486dea08ed770a;Path=/;HttpOnly;SameSite=None;Secure;Domain=databank.worldbank.org"", ""Strict-Transport-Security"": ""max-age=31536000;includeSubDomains"", ""Transfer-Encoding"": ""chunked"", ""Vary"": ""accept-encoding"", ""X-AspNet-Version"": ""4.0.30319"", ""X-Content-Type-Options"": ""nosniff"", ""X-Powered-By"": ""ASP.NET"", ""X-UA-Compatible"": ""IE=EDGE"", ""X-XSS-Protection"": ""1; mode=block"", ""set-cookie"": ""_cfuvid=EXVuvuKmt7mW7BaTOTmjniHR6dZ.QyOrUWt_S2rHUmY-1785753304.0425982-1.0.1.1-PtTRKZb4RSaEXPkUf._39PuC0yqu3ODuIr.o8N.Wmk8; HttpOnly; SameSite=None; Secure; Path=/; Domain=worldbank.org""}",text/html; charset=utf-8,,55991,d2a8a0ed63e7dc778d62f02ba861c08bae957526f8c20b9cd293ca7898f1e81d,d2a8a0ed63e7dc77__archives.attempt1,SUCCESS,,2026-08-03T10:35:07Z
wb_cpi_series_metadata,locked_cpi_indicator_official_metadata,https://databank.worldbank.org/metadataglossary/world-development-indicators/series/FP.CPI.TOTL.ZG,1,200,https://databank.worldbank.org/metadataglossary/world-development-indicators/series/FP.CPI.TOTL.ZG,[],"{""Access-Control-Expose-Headers"": ""Request-Context"", ""CF-Cache-Status"": ""BYPASS"", ""CF-Ray"": ""a254ac7b0edcd352-FRA"", ""Cache-Control"": ""private,no-cache, no-store"", ""Connection"": ""close"", ""Content-Type"": ""text/html; charset=utf-8"", ""Date"": ""Mon, 03 Aug 2026 10:35:08 GMT"", ""Request-Context"": ""appId=cid-v1:160388bd-377d-400a-bfb5-4b6a67df9047"", ""Server"": ""cloudflare"", ""Set-Cookie"": ""ARRAffinitySameSite=a71c093f38ae9c878e705a1c9e1a4165425143b6381b49453d9ce277e967e1d8;Path=/;HttpOnly;SameSite=None;Secure;Domain=databank.worldbank.org"", ""Strict-Transport-Security"": ""max-age=31536000;includeSubDomains"", ""Transfer-Encoding"": ""chunked"", ""Vary"": ""accept-encoding"", ""X-AspNet-Version"": ""4.0.30319"", ""X-Content-Type-Options"": ""nosniff"", ""X-Powered-By"": ""ASP.NET"", ""X-UA-Compatible"": ""IE=EDGE"", ""X-XSS-Protection"": ""1; mode=block"", ""set-cookie"": ""_cfuvid=KqqwUi5xBrh8Ukw9_q2iiuDV.463frt5Safg5_z8aeA-1785753307.370675-1.0.1.1-AoceSYNCo4LAvhZm.tG90oRTa2ofvaLRhMJdMh4LQEk; HttpOnly; SameSite=None; Secure; Path=/; Domain=worldbank.org""}",text/html; charset=utf-8,,53192,5ab69a3434038e64caf85ad48894cf5920ffceebae7a7aa0e4faed57acbbe0d9,5ab69a3434038e64__FP.CPI.TOTL.ZG.attempt1,SUCCESS,,2026-08-03T10:35:09Z
wb_fx_series_metadata,locked_fx_indicator_official_metadata,https://databank.worldbank.org/metadataglossary/world-development-indicators/series/PA.NUS.FCRF,1,200,https://databank.worldbank.org/metadataglossary/world-development-indicators/series/PA.NUS.FCRF,[],"{""Access-Control-Expose-Headers"": ""Request-Context"", ""CF-Cache-Status"": ""BYPASS"", ""CF-Ray"": ""a254ac887dc837bd-FRA"", ""Cache-Control"": ""private,no-cache, no-store"", ""Connection"": ""close"", ""Content-Type"": ""text/html; charset=utf-8"", ""Date"": ""Mon, 03 Aug 2026 10:35:10 GMT"", ""Request-Context"": ""appId=cid-v1:160388bd-377d-400a-bfb5-4b6a67df9047"", ""Server"": ""cloudflare"", ""Set-Cookie"": ""ARRAffinitySameSite=267e41c40942d87f5c40e95a0bc8e4e360ff8dfc03abb6f61c6fbff0beb2bde6;Path=/;HttpOnly;SameSite=None;Secure;Domain=databank.worldbank.org"", ""Strict-Transport-Security"": ""max-age=31536000;includeSubDomains"", ""Transfer-Encoding"": ""chunked"", ""Vary"": ""accept-encoding"", ""X-AspNet-Version"": ""4.0.30319"", ""X-Content-Type-Options"": ""nosniff"", ""X-Powered-By"": ""ASP.NET"", ""X-UA-Compatible"": ""IE=EDGE"", ""X-XSS-Protection"": ""1; mode=block"", ""set-cookie"": ""_cfuvid=tdIpAhKrJdUZD9Turm3itlEW4zM3uPX0TwnjAHY40ow-1785753309.5112035-1.0.1.1-4VYI4bZf6gjIAogAyOygz0rHRmBvsZ5NKZrMoqoAg0I; HttpOnly; SameSite=None; Secure; Path=/; Domain=worldbank.org""}",text/html; charset=utf-8,,56469,725322492323cb62e054cbdf077286428ec4f2bb199c4b12c6d0dd03e8116ff2,725322492323cb62__PA.NUS.FCRF.attempt1,SUCCESS,,2026-08-03T10:35:11Z
imf_mfs_ir_dataset_page,imf_financing_dataset_discovery_root,https://data.imf.org/en/datasets/IMF.STA%3AMFS_IR,1,200,https://data.imf.org/en/datasets/IMF.STA%3AMFS_IR,[],"{""Akamai-GRN"": ""0.1f2b3517.1785753311.c11022f"", ""Alt-Svc"": ""h3=\"":443\""; ma=93600"", ""Cache-Control"": ""private, no-cache, no-store, max-age=0, must-revalidate"", ""Connection"": ""Transfer-Encoding"", ""Content-Security-Policy"": ""default-src 'self' p11.techlab-cdn.com; font-src 'self' data: fonts.gstatic.com/; img-src 'self' data: *.brightcove.com *.boltdns.net *.akamaihd.net *.imf.org *.service-now.com https://blogs.imf.org; style-src 'self' 'unsafe-inline' data: static.cloud.coveo.com fonts.googleapis.com; script-src 'self' 'unsafe-eval' *.brightcove.net static.cloud.coveo.com stg-datasupport.imf.org datasupport.imf.org *.brightcove.net vjs.zencdn.net p11.techlab-cdn.com 'unsafe-inline' blob: https://public.flourish.studio p11.techlab-cdn.com; connect-src 'self' stg-datasupport.imf.org datasupport.imf.org *.brightcove.com *.brightcovecdn.com *.boltdns.net *.akamaihd.net *.imf.org *.service-now.com *.brightcove.net static.cloud.coveo.com https://public.flourish.studio p11.techlab-cdn.com; worker-src 'self' blob:; media-src 'self' blob: stg-datasupport.imf.org datasupport.imf.org *.boltdns.net *.akamaihd.net *.brightcove.net; frame-src 'self' *.powerbi.com *.imf.org *.brightcove.net datawrapper.dwcdn.net https://public.flourish.studio https://flo.uri.sh; form-action 'none'; frame-ancestors 'self'"", ""Content-Type"": ""text/html; charset=utf-8"", ""Date"": ""Mon, 03 Aug 2026 10:35:11 GMT"", ""Referrer-Policy"": ""same-origin"", ""Set-Cookie"": ""ak_bmsc=14FD1D643A351FEBE8A66A22843E21E3~000000000000000000000000000000~YAAQHys1F9uiB66fAQAAmhoxxwBhP4lA9QRLpOwCfeohG12kn+pUxbAhdKyY/Iat7VuHEPTM6xuFsqTUhlqwwfZDoJspLAGmWLIEsa253xlTGnh6fSXGXh0gfl1yU00AFRoZjiPi5yZlZ0etKbtFtgclF0Ck63TcktGDUrs5Wqd8SeZE3KfXzzC8mS7dVI4gagAk2BYrbbpxFjeOdC8sfEeakjRZOiQEYakGU73qQuS1x4SMU7LVuQsOKR+Q/KU9vBnwAfaHOcwxCZn44F5ac3SDtSiCXsZyhdTMjcQbk+yh2DBLLe7PngZkcZFy5D2yX7OsN7cG7J0skkOtDkxlUDSvTGYHcIHkVxg=; Domain=.imf.org; Path=/; Expires=Mon, 03 Aug 2026 12:35:11 GMT; Max-Age=7200; HttpOnly"", ""Strict-Transport-Security"": ""max-age=31536000"", ""Transfer-Encoding"": ""chunked"", ""Vary"": ""Accept-Encoding"", ""X-Content-Type-Options"": ""nosniff"", ""X-Download-Options"": ""noopen"", ""X-Frame-Options"": ""deny"", ""X-XSS-Protection"": ""1""}",text/html; charset=utf-8,,263155,8d267f5a73b42b727b905f1d793e0678c38bb274691ec2ead9d54c45869fa1f0,8d267f5a73b42b72__IMF.STA_3AMFS_IR.attempt1,SUCCESS,,2026-08-03T10:35:12Z
wdi_archive_WDI_2017_09_19,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_09_19.zip,1,200,https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2017_09_19.zip,"[{""from_url"": ""https://databank.worldbank.org/data/download/archive/WDI_excel_2017_09_19.zip"", ""status"": 301, ""to_url"": ""https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2017_09_19.zip""}]","{""Accept-Ranges"": ""bytes"", ""Cache-Control"": ""public, max-age=3600"", ""Connection"": ""close"", ""Content-Length"": ""64333467"", ""Content-Type"": ""application/x-zip-compressed"", ""Date"": ""Mon, 03 Aug 2026 10:48:46 GMT"", ""ETag"": ""0x8DAFF08F1787E64"", ""Last-Modified"": ""Wed, 25 Jan 2023 19:18:30 GMT"", ""X-Cache"": ""TCP_MISS"", ""x-azure-ref"": ""20260803T104845Z-165ffc9dbb6jswh2hC1MILdnts00000007q000000000nzxn"", ""x-fd-int-roxy-purgeid"": ""0"", ""x-ms-blob-type"": ""BlockBlob"", ""x-ms-lease-status"": ""unlocked"", ""x-ms-request-id"": ""84f7f2da-b01e-0077-4435-23fefb000000"", ""x-ms-version"": ""2009-09-19""}",application/x-zip-compressed,,64333467,c50764e75ef9b95515283f9b69a8f70d20fc9527ccdf00b74ce632089729c6c5,c50764e75ef9b955__WDI_excel_2017_09_19.zip.attempt1,SUCCESS,,2026-08-03T10:49:19Z
wdi_archive_WDI_2017_12_22,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_12_22.zip,1,200,https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2017_12_22.zip,"[{""from_url"": ""https://databank.worldbank.org/data/download/archive/WDI_excel_2017_12_22.zip"", ""status"": 301, ""to_url"": ""https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2017_12_22.zip""}]","{""Accept-Ranges"": ""bytes"", ""Cache-Control"": ""public, max-age=3600"", ""Connection"": ""close"", ""Content-Length"": ""64662263"", ""Content-Type"": ""application/x-zip-compressed"", ""Date"": ""Mon, 03 Aug 2026 10:49:21 GMT"", ""ETag"": ""0x8DAFF08FEAC8712"", ""Last-Modified"": ""Wed, 25 Jan 2023 19:18:52 GMT"", ""X-Cache"": ""TCP_MISS"", ""x-azure-ref"": ""20260803T104920Z-r1cb6d4bbd7lnshjhC1BRUnauw0000000cv000000000nprh"", ""x-fd-int-roxy-purgeid"": ""0"", ""x-ms-blob-type"": ""BlockBlob"", ""x-ms-lease-status"": ""unlocked"", ""x-ms-request-id"": ""282dfa7b-b01e-0005-0635-23f9b4000000"", ""x-ms-version"": ""2009-09-19""}",application/x-zip-compressed,,64662263,7919e43045833232e97ce906c97d496703a70db302075e8b8e1393777ed78fb6,7919e43045833232__WDI_excel_2017_12_22.zip.attempt1,SUCCESS,,2026-08-03T10:49:50Z
wdi_archive_WDI_2018_02_22,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_02_22.zip,1,200,https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2018_02_22.zip,"[{""from_url"": ""https://databank.worldbank.org/data/download/archive/WDI_excel_2018_02_22.zip"", ""status"": 301, ""to_url"": ""https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2018_02_22.zip""}]","{""Accept-Ranges"": ""bytes"", ""Cache-Control"": ""public, max-age=3600"", ""Connection"": ""close"", ""Content-Length"": ""63156170"", ""Content-Type"": ""application/x-zip-compressed"", ""Date"": ""Mon, 03 Aug 2026 10:49:52 GMT"", ""ETag"": ""0x8DAFF08FDD13B26"", ""Last-Modified"": ""Wed, 25 Jan 2023 19:18:50 GMT"", ""X-Cache"": ""TCP_MISS"", ""x-azure-ref"": ""20260803T104951Z-165ffc9dbb6qdx69hC1MILc1kw00000007y000000000vqs2"", ""x-fd-int-roxy-purgeid"": ""0"", ""x-ms-blob-type"": ""BlockBlob"", ""x-ms-lease-status"": ""unlocked"", ""x-ms-request-id"": ""2b5023a5-f01e-0059-3c35-23acec000000"", ""x-ms-version"": ""2009-09-19""}",application/x-zip-compressed,,63156170,eb26afca7c7ce997c8a012b872b6053c51683a5c30300db873b2ac51f3ebed12,eb26afca7c7ce997__WDI_excel_2018_02_22.zip.attempt1,SUCCESS,,2026-08-03T10:50:10Z
wdi_archive_WDI_2018_04_18,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_04_18.zip,1,200,https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2018_04_18.zip,"[{""from_url"": ""https://databank.worldbank.org/data/download/archive/WDI_excel_2018_04_18.zip"", ""status"": 301, ""to_url"": ""https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2018_04_18.zip""}]","{""Accept-Ranges"": ""bytes"", ""Cache-Control"": ""public, max-age=3600"", ""Connection"": ""close"", ""Content-Length"": ""64949696"", ""Content-Type"": ""application/x-zip-compressed"", ""Date"": ""Mon, 03 Aug 2026 10:50:12 GMT"", ""ETag"": ""0x8DAFF08FF4A84C7"", ""Last-Modified"": ""Wed, 25 Jan 2023 19:18:53 GMT"", ""X-Cache"": ""TCP_MISS"", ""x-azure-ref"": ""20260803T105011Z-1577489dcc4hxmqwhC1ZRHbx70000000073g00000000gteu"", ""x-fd-int-roxy-purgeid"": ""0"", ""x-ms-blob-type"": ""BlockBlob"", ""x-ms-lease-status"": ""unlocked"", ""x-ms-request-id"": ""27ee2954-e01e-006a-6335-23f347000000"", ""x-ms-version"": ""2009-09-19""}",application/x-zip-compressed,,64949696,3fd132cf8dc3ca5a96e9205ff4e47288b1abbd673662d57e0bff5de36ce1b2b7,3fd132cf8dc3ca5a__WDI_excel_2018_04_18.zip.attempt1,SUCCESS,,2026-08-03T10:50:30Z
wdi_archive_WDI_2018_05_21,required_wdi_archive_edition,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_05_21.zip,1,200,https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2018_05_21.zip,"[{""from_url"": ""https://databank.worldbank.org/data/download/archive/WDI_excel_2018_05_21.zip"", ""status"": 301, ""to_url"": ""https://databankfiles.worldbank.org/public/ddpext_download/archive/WDI_excel_2018_05_21.zip""}]","{""Accept-Ranges"": ""bytes"", ""Cache-Control"": ""public, max-age=3600"", ""Connection"": ""close"", ""Content-Length"": ""67681097"", ""Content-Type"": ""application/x-zip-compressed"", ""Date"": ""Mon, 03 Aug 2026 10:50:32 GMT"", ""ETag"": ""0x8DAFF090A3A9AEC"", ""Last-Modified"": ""Wed, 25 Jan 2023 19:19:11 GMT"", ""X-Cache"": ""TCP_MISS"", ""x-azure-ref"": ""20260803T105031Z-165ffc9dbb68p5kvhC1MILsy8w000000080g00000000h1re"", ""x-fd-int-roxy-purgeid"": ""0"", ""x-ms-blob-type"": ""BlockBlob"", ""x-ms-lease-status"": ""unlocked"", ""x-ms-request-id"": ""3e457b28-301e-0034-6d35-2318a7000000"", ""x-ms-version"": ""2009-09-19""}",application/x-zip-compressed,,67681097,7fd181a477eeb88f952cd8f653ffe676a0097e70b6abe8088511745cf69c9df0,7fd181a477eeb88f__WDI_excel_2018_05_21.zip.attempt1,SUCCESS,,2026-08-03T10:51:02Z
