archive_edition_id,release_available_at_utc,minimum_cutoff_using_edition,maximum_cutoff_using_edition,development_pair_count_using_edition,download_required,download_status,raw_artifact_filename,raw_artifact_sha256,raw_artifact_bytes
WDI_2017_09_19,2017-09-20T00:00:00Z,2017-10-22T00:00:00Z,2017-10-22T00:00:00Z,3,True,SUCCESS,c50764e75ef9b955__WDI_excel_2017_09_19.zip.attempt1,c50764e75ef9b95515283f9b69a8f70d20fc9527ccdf00b74ce632089729c6c5,64333467
WDI_2017_12_22,2017-12-23T00:00:00Z,2018-01-20T00:00:00Z,2018-01-20T00:00:00Z,12,True,SUCCESS,7919e43045833232__WDI_excel_2017_12_22.zip.attempt1,7919e43045833232e97ce906c97d496703a70db302075e8b8e1393777ed78fb6,64662263
WDI_2018_02_22,2018-02-23T00:00:00Z,2018-04-19T00:00:00Z,2018-04-19T00:00:00Z,1,True,SUCCESS,eb26afca7c7ce997__WDI_excel_2018_02_22.zip.attempt1,eb26afca7c7ce997c8a012b872b6053c51683a5c30300db873b2ac51f3ebed12,63156170
WDI_2018_04_18,2018-04-19T00:00:00Z,2018-05-20T00:00:00Z,2018-05-20T00:00:00Z,2,True,SUCCESS,3fd132cf8dc3ca5a__WDI_excel_2018_04_18.zip.attempt1,3fd132cf8dc3ca5a96e9205ff4e47288b1abbd673662d57e0bff5de36ce1b2b7,64949696
WDI_2018_05_21,2018-05-22T00:00:00Z,2018-07-20T00:00:00Z,2018-07-20T00:00:00Z,62,True,SUCCESS,7fd181a477eeb88f__WDI_excel_2018_05_21.zip.attempt1,7fd181a477eeb88f952cd8f653ffe676a0097e70b6abe8088511745cf69c9df0,67681097
WDI_2018_07_27,2018-07-28T00:00:00Z,2018-08-22T00:00:00Z,2018-08-22T00:00:00Z,1,True,SUCCESS,4a46abe6242d3227__WDI_excel_2018_07_27.zip.attempt1,4a46abe6242d322733bc4be5e3023b8004643e73ab260525a00eace751063463,67238622
WDI_2018_10_18,2018-10-19T00:00:00Z,2018-10-22T00:00:00Z,2018-10-22T00:00:00Z,3,True,SUCCESS,f1efbbc719ca7e77__WDI_excel_2018_10_18.zip.attempt1,f1efbbc719ca7e770958514e1d661e8a26e702b48b9d31cf749b1a87d69b5b8f,67900918
WDI_2018_11_14,2018-11-15T00:00:00Z,2019-01-20T00:00:00Z,2019-01-20T00:00:00Z,11,True,SUCCESS,37043431fb5f2a29__WDI_excel_2018_11_14.zip.attempt1,37043431fb5f2a296f33dec9dd23c2a3c2afa48dfe2569e905a2f9bad753c08d,68997371
WDI_2019_03_21,2019-03-22T00:00:00Z,2019-04-19T00:00:00Z,2019-04-19T00:00:00Z,4,True,SUCCESS,3725227a85ac0f16__WDI_excel_2019_03_21.zip.attempt1,3725227a85ac0f16e76de7906b0d1369b179d3c052f3fa01a780770b12a36405,67859088
WDI_2019_04_24,2019-04-25T00:00:00Z,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,2,True,SUCCESS,0d8bb621494aeb6d__WDI_excel_2019_04_24.zip.attempt1,0d8bb621494aeb6dc867538211ae4d8a98230552b96398f43d14a0fdc87148d3,68648651
WDI_2019_06_28,2019-06-29T00:00:00Z,2019-07-20T00:00:00Z,2019-08-22T00:00:00Z,80,True,SUCCESS,8387106a5aa5de17__WDI_excel_2019_06_28.zip.attempt1,8387106a5aa5de174aeeec58bb925f266cb72345427ef8cd5570d893516d4bca,69724643
WDI_2019_09_24,2019-09-25T00:00:00Z,2019-10-22T00:00:00Z,2019-10-22T00:00:00Z,3,True,SUCCESS,d771e9fdfe82a6ee__WDI_excel_2019_09_24.zip.attempt1,d771e9fdfe82a6eeac7bcdc0b9840677033b6cbe0e3edf1faa35a7b89ffc4454,69636291
WDI_2019_10_28,2019-10-29T00:00:00Z,2019-12-21T00:00:00Z,2019-12-21T00:00:00Z,1,True,SUCCESS,61369fffef6abbae__WDI_excel_2019_10_28.zip.attempt1,61369fffef6abbae3ba24689bed2268f70c127144d227cf590a92b419f291e65,64787514
WDI_2019_12_20,2019-12-21T00:00:00Z,2020-01-20T00:00:00Z,2020-01-20T00:00:00Z,12,True,SUCCESS,c43c055ebb9b969e__WDI_excel_2019_12_20.zip.attempt1,c43c055ebb9b969e01b315416573e537da82cce656bbb87aa16f71c83f284c7e,64818326
WDI_2020_04_09,2020-04-10T00:00:00Z,2020-04-18T00:00:00Z,2020-05-19T00:00:00Z,9,True,SUCCESS,319224671ad12a03__WDI_excel_2020_04_09.zip.attempt1,319224671ad12a0326fbee05d798192fdf9459a96f4f22a5f2567085046e742b,65132872
WDI_2020_07_01,2020-07-02T00:00:00Z,2020-07-19T00:00:00Z,2020-07-19T00:00:00Z,81,True,SUCCESS,99008d3a12c9054b__WDI_excel_2020_07_01.zip.attempt1,99008d3a12c9054b12b161f23d017b3a09971734a601f52844c7d544c86b42c8,66268535
