archive_edition_id,release_available_at_utc,economy_identity_verified,indicator_code_verified,archived_series_title_raw,title_compatibility,frequency_raw,frequency_annual_verified,unit_raw,unit_compatibility,calendar_year_semantics_verified,raw_archive_sha256,evidence_locator,compatibility_status,unresolved_reason,indicator_code,unit_evidence_source
WDI_2017_09_19,2017-09-20T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,c50764e75ef9b95515283f9b69a8f70d20fc9527ccdf00b74ce632089729c6c5,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2017_09_19,2017-09-20T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,c50764e75ef9b95515283f9b69a8f70d20fc9527ccdf00b74ce632089729c6c5,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2017_12_22,2017-12-23T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,7919e43045833232e97ce906c97d496703a70db302075e8b8e1393777ed78fb6,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2017_12_22,2017-12-23T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,7919e43045833232e97ce906c97d496703a70db302075e8b8e1393777ed78fb6,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2018_02_22,2018-02-23T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,eb26afca7c7ce997c8a012b872b6053c51683a5c30300db873b2ac51f3ebed12,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2018_02_22,2018-02-23T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,eb26afca7c7ce997c8a012b872b6053c51683a5c30300db873b2ac51f3ebed12,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2018_04_18,2018-04-19T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,3fd132cf8dc3ca5a96e9205ff4e47288b1abbd673662d57e0bff5de36ce1b2b7,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2018_04_18,2018-04-19T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,3fd132cf8dc3ca5a96e9205ff4e47288b1abbd673662d57e0bff5de36ce1b2b7,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2018_05_21,2018-05-22T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,7fd181a477eeb88f952cd8f653ffe676a0097e70b6abe8088511745cf69c9df0,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2018_05_21,2018-05-22T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,7fd181a477eeb88f952cd8f653ffe676a0097e70b6abe8088511745cf69c9df0,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
