ticker,fiscal_year_t,pair_cutoff_date,t0_trading_date,tN_trading_date,window_trading_day_count,usable_daily_return_count,d0_equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,in_three_variable_common_sample,m2_value_status
بموتو,1392,2014-01-20,2013-01-19,2014-01-18,242,169,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
ثنوسا,1392,2014-01-20,2013-01-19,2014-01-18,242,160,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
حپترو,1392,2014-07-20,2013-07-16,2014-07-16,245,209,True,True,True,True,OBSERVED_COMPLETE
حکشتی,1392,2013-10-22,2012-10-21,2013-10-21,241,196,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
خاذین,1392,2014-07-20,2013-07-16,2014-07-16,245,224,True,True,True,True,OBSERVED_COMPLETE
خبهمن,1392,2014-07-20,2013-07-16,2014-07-16,245,235,True,True,True,True,OBSERVED_COMPLETE
ختوقا,1392,2014-07-20,2013-07-16,2014-07-16,245,221,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
خرینگ,1392,2014-07-20,2013-07-16,2014-07-16,245,205,True,True,True,True,OBSERVED_COMPLETE
خمحور,1392,2014-07-20,2013-07-16,2014-07-16,245,201,True,True,True,True,OBSERVED_COMPLETE
خمهر,1392,2014-07-20,2013-07-16,2014-07-16,245,212,True,True,True,True,OBSERVED_COMPLETE
خنصیر,1392,2014-07-20,2013-07-16,2014-07-16,245,140,True,True,True,True,OBSERVED_COMPLETE
خوساز,1392,2014-07-20,2013-07-16,2014-07-16,245,207,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
خچرخش,1392,2014-07-20,2013-07-16,2014-07-16,245,139,True,True,True,True,OBSERVED_COMPLETE
خکمک,1392,2014-07-20,2013-07-16,2014-07-16,245,216,True,True,True,True,OBSERVED_COMPLETE
دروز,1392,2014-07-20,2013-07-16,2014-07-16,245,54,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=54 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=54 < 126
دسبحا,1392,2014-07-20,2013-07-16,2014-07-16,245,231,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
دیران,1392,2014-07-20,2013-07-16,2014-07-16,245,213,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
رانفور,1392,2014-07-20,2013-07-16,2014-07-16,245,235,True,True,True,True,OBSERVED_COMPLETE
زمگسا,1392,2014-07-20,2013-07-16,2014-07-16,245,229,True,True,True,True,OBSERVED_COMPLETE
ساراب,1392,2014-07-20,2013-07-16,2014-07-16,245,233,True,True,True,True,OBSERVED_COMPLETE
سبهان,1392,2014-07-20,2013-07-16,2014-07-16,245,230,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
سخزر,1392,2014-07-20,2013-07-16,2014-07-16,245,162,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
سدشت,1392,2014-01-20,2013-01-19,2014-01-18,242,19,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=19 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=19 < 126
سدور,1392,2014-07-20,2013-07-16,2014-07-16,245,214,True,True,True,True,OBSERVED_COMPLETE
سرود,1392,2014-07-20,2013-07-16,2014-07-16,245,219,True,True,True,True,OBSERVED_COMPLETE
سشرق,1392,2014-01-20,2013-01-19,2014-01-18,242,214,True,True,True,True,OBSERVED_COMPLETE
سقاین,1392,2014-07-20,2013-07-16,2014-07-16,245,187,True,True,True,True,OBSERVED_COMPLETE
سمازن,1392,2014-07-20,2013-07-16,2014-07-16,245,157,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
سهگمت,1392,2014-05-20,2013-05-19,2014-05-19,244,229,True,True,True,True,OBSERVED_COMPLETE
سپاها,1392,2014-01-20,2013-01-19,2014-01-18,242,227,True,True,True,True,OBSERVED_COMPLETE
سکرد,1392,2014-01-20,2013-01-19,2014-01-18,242,193,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
سیلام,1392,2014-05-20,2013-05-19,2014-05-19,244,193,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
غبهنوش,1392,2014-07-20,2013-07-16,2014-07-16,245,141,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
غدام,1392,2014-04-19,2013-04-16,2014-04-16,245,88,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=88 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=88 < 126
غسالم,1392,2014-07-20,2013-07-16,2014-07-16,245,168,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
غشان,1392,2014-07-20,2013-07-16,2014-07-16,245,219,True,True,True,True,OBSERVED_COMPLETE
غشهد,1392,2014-07-20,2013-07-16,2014-07-16,245,133,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
غنوش,1392,2014-07-20,2013-07-16,2014-07-16,245,92,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=92 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=92 < 126
غگل,1392,2014-01-20,2013-01-19,2014-01-18,242,60,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=60 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=60 < 126
کبافق,1392,2014-07-20,2013-07-16,2014-07-16,245,169,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
کرازی,1392,2014-07-20,2013-07-16,2014-07-16,245,228,True,True,True,True,OBSERVED_COMPLETE
کفرا,1392,2014-07-20,2013-07-16,2014-07-16,245,200,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
کفپارس,1392,2014-04-19,2013-04-16,2014-04-16,245,99,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=99 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=99 < 126
کهمدا,1392,2013-10-22,2012-10-21,2013-10-21,241,205,True,True,True,True,OBSERVED_COMPLETE
کگاز,1392,2014-07-20,2013-07-16,2014-07-16,245,206,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
کگل,1392,2014-07-20,2013-07-16,2014-07-16,245,221,True,True,True,True,OBSERVED_COMPLETE
بالبر,1393,2015-01-20,2014-01-20,2015-01-19,242,212,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
بترانس,1393,2015-07-20,2014-07-20,2015-07-19,241,225,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
بموتو,1393,2015-01-20,2014-01-20,2015-01-19,242,205,True,True,True,True,OBSERVED_COMPLETE
بکاب,1393,2015-01-20,2014-01-20,2015-01-19,242,109,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=109 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=109 < 126
بکام,1393,2015-07-20,2014-07-20,2015-07-19,241,216,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
تپمپی,1393,2014-10-22,2013-10-21,2014-10-21,244,126,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
تکمبا,1393,2015-07-20,2014-07-20,2015-07-19,241,198,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
ثشرق,1393,2015-01-20,2014-05-11,2015-01-19,169,125,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=125 < 126; adjusted_close missing at window start t0; usable_amihud_day_count=125 < 126
ثنوسا,1393,2015-01-20,2014-01-20,2015-01-19,242,213,True,True,True,True,OBSERVED_COMPLETE
حپترو,1393,2015-07-20,2014-07-20,2015-07-19,241,236,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
حکشتی,1393,2014-10-22,2013-10-21,2014-10-21,244,181,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
خاذین,1393,2015-07-20,2014-07-20,2015-07-19,241,166,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خبهمن,1393,2015-07-20,2014-07-20,2015-07-19,241,230,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
ختوقا,1393,2015-07-20,2014-07-20,2015-07-19,241,211,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خرینگ,1393,2015-07-20,2014-07-20,2015-07-19,241,230,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خمحور,1393,2015-07-20,2014-07-20,2015-07-19,241,217,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خمهر,1393,2015-07-20,2014-07-20,2015-07-19,241,236,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خنصیر,1393,2015-07-20,2014-07-20,2015-07-19,241,201,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خوساز,1393,2015-07-20,2014-07-20,2015-07-19,241,219,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خچرخش,1393,2015-07-20,2014-07-20,2015-07-19,241,210,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
