ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,window_start_calendar_date,window_first_trading_date,window_last_trading_date,t_star,window_trading_day_count,usable_daily_return_count,usable_amihud_day_count,missing_price_day_count,zero_traded_value_day_count,d2_start_trading_date,d2_end_trading_date,d2_effective_span_days,d2_status,equity_return_d2,d2_no_start_boundary_price,d2_no_end_boundary_price,d2_start_adjusted_close_is_zero,fewer_than_126_valid_returns,realized_volatility,amihud_illiquidity,equity_return_window_d0_historical,in_three_variable_common_sample,m2_value_status
بالبر,1393,1394,"fold1_train,fold2_train",2015-01-20,2014-01-19,2014-01-20,2015-01-19,2015-01-19,242,212,212,22,22,2014-01-27,2015-01-14,352,OBSERVED_COMPLETE,0.07917888563049846,False,False,False,False,0.02247766996273649,1.1044220952364758e-10,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
بالبر,1394,1395,"fold1_train,fold2_train",2016-01-20,2015-01-19,2015-01-19,2016-01-19,2016-01-19,246,81,81,136,136,2015-01-26,2016-01-19,358,UNAVAILABLE: usable_daily_return_count=81 < 126,,False,False,False,True,,,,False,OBSERVED_INCOMPLETE: usable_daily_return_count=81 < 126; adjusted_close missing at window start t0; usable_amihud_day_count=81 < 126
بالبر,1395,1396,"fold1_validation,fold2_train",2017-01-19,2016-01-18,2016-01-18,2017-01-18,2017-01-18,246,215,215,25,25,2016-01-18,2017-01-15,363,OBSERVED_COMPLETE,0.855513307984791,False,False,False,False,0.02919276044782065,5.422999641157509e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
بالبر,1396,1397,"fold1_validation,fold2_train",2018-01-20,2017-01-17,2017-01-17,2018-01-17,2018-01-17,245,221,221,20,20,2017-01-29,2018-01-17,353,OBSERVED_COMPLETE,0.12785862785862778,False,False,False,False,0.02771462633736813,2.1463333288788253e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
بالبر,1397,1398,fold2_validation,2019-01-20,2018-01-19,2018-01-20,2019-01-19,2019-01-19,243,233,233,6,6,2018-01-20,2019-01-15,360,OBSERVED_COMPLETE,0.028414298808432603,False,False,False,False,0.026721148544740045,2.543370158349802e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
بالبر,1398,1399,fold2_validation,2020-01-20,2019-01-19,2019-01-19,2020-01-19,2020-01-19,240,223,223,11,11,2019-01-21,2020-01-19,363,OBSERVED_COMPLETE,5.393382352941177,False,False,False,False,0.03431853739865975,1.0769100558430059e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
بترانس,1393,1394,"fold1_train,fold2_train",2015-07-20,2014-07-19,2014-07-20,2015-07-19,2015-07-19,241,225,225,13,13,2014-07-21,2015-07-15,359,OBSERVED_COMPLETE,0.8148148148148149,False,False,False,False,0.02289048195292697,2.6153967012231146e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
بترانس,1394,1395,"fold1_train,fold2_train",2016-07-19,2015-07-18,2015-07-19,2016-07-18,2016-07-18,247,234,234,11,11,2015-07-20,2016-07-16,362,OBSERVED_COMPLETE,0.8453608247422681,False,False,False,False,0.023185872374402595,1.682401873946725e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
بترانس,1395,1396,"fold1_validation,fold2_train",2017-07-21,2016-07-19,2016-07-19,2017-07-19,2017-07-19,243,221,221,17,17,2016-07-20,2017-07-19,364,OBSERVED_COMPLETE,-0.08556149732620322,False,False,False,False,0.014159950090170242,1.0027399292957129e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
بترانس,1396,1397,"fold1_validation,fold2_train",2018-07-20,2017-07-18,2017-07-18,2018-07-18,2018-07-18,242,229,229,9,9,2017-07-18,2018-07-18,365,OBSERVED_COMPLETE,0.05714285714285716,False,False,False,False,0.006763944280741981,1.152510715230607e-12,0.05714285714285716,True,OBSERVED_COMPLETE
