outer_archive,nested_archive,relative_path,filename,actual_file_type,extension,byte_size,sha256,parse_status,error_status,cell_count,payload_verdict,payload_verdict_reason,ticker_inferred,fiscal_year_inferred,fiscal_year_end_from_filename,scope_inferred,audited_marker,correction_marker,auditor_block_status,auditor_block_sheet,auditor_block_start,auditor_block_end,fye_content,fye_loc,opinion_category,opinion_evidence_kind,opinion_heading_location,opinion_paragraph_location,opinion_conflict,opinion_reject_reason,auditor_report_date,auditor_report_date_location,report_date_reject_reason,company_name
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اپال.zip,اپال.zip!اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,105770,f17825e1ca6e68ab6ee205fbbc3b354bf8a3ac0c8abcaf711fc33bef7992204b,OK,,475,PAYLOAD_SUBSTANTIVE,,اپال,1396,1396/10/30,separate,audited,original,NOT_DETECTED,,,,1396/10/30,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اپال.zip,اپال.zip!اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,208806,a3a59081bf4a58b49c417f0044be61cd64660b1c82a99d629480edc171d83f1f,OK,,950,PAYLOAD_SUBSTANTIVE,,اپال,1397,1397/10/30,separate,audited,original,NOT_DETECTED,,,,1397/10/30,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اپال.zip,اپال.zip!اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,224436,07a3ed181786874a661080efdc82791f3f428990c614b394e0012c02ba88aa2f,OK,,1039,PAYLOAD_SUBSTANTIVE,,اپال,1398,1398/10/30,separate,audited,original,NOT_DETECTED,,,,1398/10/30,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اپال.zip,اپال.zip!اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,211210,1b9397aa1c80eccf2673b538b0b0a6bbbafc1a2ccad0859485c49e773ffb5388,OK,,987,PAYLOAD_SUBSTANTIVE,,اپال,1399,1399/10/30,separate,audited,original,NOT_DETECTED,,,,1399/10/30,HTML_TABLE_2!R1C3,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اپال.zip,اپال.zip!اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,258933,58b789dd31033529efc09d54ef847f29980016676ead1da0a0f56d309e47a9f2,OK,,1305,PAYLOAD_SUBSTANTIVE,,اپال,1400,1400/10/30,separate,audited,original,NOT_DETECTED,,,,1400/10/30,HTML_TABLE_2!R1C3,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اپال.zip,اپال.zip!اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,305118,16ede1dcaaa17ebe6e5256d5ca545e406d677a7e32e960e1ace3f9986f9bdbdb,OK,,1545,PAYLOAD_SUBSTANTIVE,,اپال,1401,1401/10/30,separate,audited,original,NOT_DETECTED,,,,1401/10/30,HTML_TABLE_2!R1C3,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اپال.zip,اپال.zip!اپال_۱۴۰۲_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,اپال_۱۴۰۲_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,296405,d7de3bb1d2ff3dec2dbac96bbcdfe3a5c80b1694e18ead4cbdb9ec40618bbbd8,OK,,1488,PAYLOAD_SUBSTANTIVE,,اپال,1402,1402/10/30,separate,audited,original,NOT_DETECTED,,,,1402/10/30,HTML_TABLE_2!R1C3,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اردستان.zip,اردستان.zip!اردستان_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,اردستان_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,494332,e3fd7b443890892a500e6fc36a6312d6ce7009533b44d843eb143cec7bc0bcd0,OK,,2351,PAYLOAD_SUBSTANTIVE,,اردستان,1398,1398/12/29,consolidated,audited,original,NOT_DETECTED,,,,1398/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اردستان.zip,اردستان.zip!اردستان_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,اردستان_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,496153,53ab244dcaef8115e9c08e8414df3e7a7c8f2556a8a49dc91aea9713bd33d738,OK,,2373,PAYLOAD_SUBSTANTIVE,,اردستان,1399,1399/12/30,consolidated,audited,original,NOT_DETECTED,,,,1399/12/30,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,اردستان.zip,اردستان.zip!اردستان_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,اردستان_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,HTML_MISLABELED_XLSX,.xlsx,496363,c328493d9629e21af54b7dea779425d5b519c4f21f9de5f5cb7c4dbf12c8435d,OK,,2374,PAYLOAD_SUBSTANTIVE,,اردستان,1399,1399/12/30,consolidated,audited,correction,NOT_DETECTED,,,,1399/12/30,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
