row_key,ticker,fiscal_year,missing_field,coverage_status,source_file_type,source_relative_path,reason,required_next_document
اپال|1396,اپال,1396,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1396,اپال,1396,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1397,اپال,1397,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1397,اپال,1397,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1398,اپال,1398,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1398,اپال,1398,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1399,اپال,1399,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1399,اپال,1399,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1400,اپال,1400,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1400,اپال,1400,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1401,اپال,1401,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1401,اپال,1401,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1402,اپال,1402,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۴۰۲_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اپال|1402,اپال,1402,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اپال.zip!اپال_۱۴۰۲_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اردستان|1392,اردستان,1392,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1392,اردستان,1392,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1392,اردستان,1392,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1393,اردستان,1393,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1393,اردستان,1393,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1393,اردستان,1393,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1394,اردستان,1394,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1394,اردستان,1394,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1394,اردستان,1394,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1395,اردستان,1395,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1395,اردستان,1395,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1395,اردستان,1395,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1396,اردستان,1396,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1396,اردستان,1396,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1396,اردستان,1396,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1397,اردستان,1397,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1397,اردستان,1397,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1397,اردستان,1397,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اردستان|1398,اردستان,1398,fiscal_year_end,ONLY_CONSOLIDATED_AVAILABLE,,,ONLY_CONSOLIDATED_AVAILABLE,CODAL separate audited financial statements + auditor report
اردستان|1398,اردستان,1398,auditor_opinion_type,ONLY_CONSOLIDATED_AVAILABLE,,,ONLY_CONSOLIDATED_AVAILABLE,CODAL separate audited financial statements + auditor report
اردستان|1398,اردستان,1398,auditor_report_date,ONLY_CONSOLIDATED_AVAILABLE,,,ONLY_CONSOLIDATED_AVAILABLE,CODAL separate audited financial statements + auditor report
اروند|1394,اروند,1394,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اروند|1394,اروند,1394,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اروند|1394,اروند,1394,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اروند|1395,اروند,1395,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اروند|1395,اروند,1395,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اروند|1396,اروند,1396,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اروند|1396,اروند,1396,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اروند|1398,اروند,1398,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اروند|1398,اروند,1398,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اروند|1398,اروند,1398,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
اروند|1399,اروند,1399,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اروند|1399,اروند,1399,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اروند|1400,اروند,1400,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
اروند|1400,اروند,1400,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,اروند.zip!اروند_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بالبر|1397,بالبر,1397,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بالبر.zip!بالبر_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بالبر|1397,بالبر,1397,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بالبر.zip!بالبر_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بالبر|1398,بالبر,1398,fiscal_year_end,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بالبر.zip!بالبر_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,NOT_PRESENT_IN_SOURCE,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
