row_key,ticker,fiscal_year,coverage_status,n_files_total,n_separate_audited,n_consolidated,n_unaudited,n_corrections,n_corrections_substantive,selected_role,selected_source,selected_sha256
اپال|1396,اپال,1396,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اپال.zip!اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,f17825e1ca6e68ab6ee205fbbc3b354bf8a3ac0c8abcaf711fc33bef7992204b
اپال|1397,اپال,1397,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اپال.zip!اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,a3a59081bf4a58b49c417f0044be61cd64660b1c82a99d629480edc171d83f1f
اپال|1398,اپال,1398,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اپال.zip!اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,07a3ed181786874a661080efdc82791f3f428990c614b394e0012c02ba88aa2f
اپال|1399,اپال,1399,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اپال.zip!اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,1b9397aa1c80eccf2673b538b0b0a6bbbafc1a2ccad0859485c49e773ffb5388
اپال|1400,اپال,1400,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اپال.zip!اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,58b789dd31033529efc09d54ef847f29980016676ead1da0a0f56d309e47a9f2
اپال|1401,اپال,1401,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اپال.zip!اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,16ede1dcaaa17ebe6e5256d5ca545e406d677a7e32e960e1ace3f9986f9bdbdb
اپال|1402,اپال,1402,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اپال.zip!اپال_۱۴۰۲_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,d7de3bb1d2ff3dec2dbac96bbcdfe3a5c80b1694e18ead4cbdb9ec40618bbbd8
اردستان|1392,اردستان,1392,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اردستان|1393,اردستان,1393,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اردستان|1394,اردستان,1394,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اردستان|1395,اردستان,1395,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اردستان|1396,اردستان,1396,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اردستان|1397,اردستان,1397,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اردستان|1398,اردستان,1398,ONLY_CONSOLIDATED_AVAILABLE,1,0,1,0,0,0,,,
اروند|1394,اروند,1394,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اروند|1395,اروند,1395,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اروند.zip!اروند_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,b588b64dc50381d71ea742d9eb1cb4ac1510ace9392895017827497186eb2d99
اروند|1396,اروند,1396,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اروند.zip!اروند_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,511ac4c3930b2dc04853ff6d41fea6cc9e65eb6040202000ee67332eda884eff
اروند|1398,اروند,1398,NO_ARCHIVE_MATCH,0,0,0,0,0,0,,,
اروند|1399,اروند,1399,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اروند.zip!اروند_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,b12d2756e03d5f0ff173a148b822335cbb9dd3d5026f957a854399f7550cc18f
اروند|1400,اروند,1400,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,اروند.zip!اروند_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,3b6a1c2bbe6d1f490e33016e1ed9e921ad6a30674d26b6afab2be6cbefab9627
بالبر|1393,بالبر,1393,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,بالبر.zip!بالبر_۱۳۹۳_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۶_۳۱ (حسابرسی شده).xlsx,5fbcdbe018aa97d95ded66ad184e6aac6f83fb9cbd4ab6803ac62d316ae0c9c8
بالبر|1394,بالبر,1394,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,بالبر.zip!بالبر_۱۳۹۴_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۰۶_۳۱ (حسابرسی شده).xlsx,4f9c3d102a9943bc58514eda5329f18520f71746e625b10415a58aa1242991fb
بالبر|1395,بالبر,1395,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,بالبر.zip!بالبر_۱۳۹۵_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۰۶_۳۱ (حسابرسی شده).xlsx,4d35cc5ececc968c889ac6122abdf593fc07d20fc5b99b21744f4f9843ec603c
بالبر|1396,بالبر,1396,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,بالبر.zip!بالبر_۱۳۹۶_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۰۶_۳۱ (حسابرسی شده).xlsx,4706205c382cb88fb8b4e80459a352683561cb25d8202bc9865e74cba339d379
بالبر|1397,بالبر,1397,MATCHED_SEPARATE_VALID,1,1,0,0,0,0,original,بالبر.zip!بالبر_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده).xlsx,de1c3b6ef49ae4e440403c03079a97c985a56619ae7606c065d0c6d4f412ec29
