row_key,ticker,fiscal_year,correction_path,correction_sha256,correction_byte_size,correction_cell_count,correction_payload_verdict,correction_verdict_reason,correction_opinion,correction_opinion_reject,original_path,original_sha256,original_opinion,selected,selected_role,selection_status,selection_note,fields_in_original,fields_in_selected,fields_lost_vs_original,field_loss_reason,decision_rationale
بالبر|1399,بالبر,1399,بالبر.zip!بالبر_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,0d891ebda4bfca1b51ab8541fb04ed12bad842286b5b21c2cda7a5f5646e2edf,306602,1416,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,بالبر.zip!بالبر_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده).xlsx,28dae681d8a4d3da15a1567dc2a7626afc74092276f4d3efdd6f0f6b640cfe74,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
بکاب|1397,بکاب,1397,بكاب.zip!بكاب_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,e686beecc5ab31d9550cbd60762e9ca72950e24b00ed04775d26bc8f62922a7d,116728,495,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,بكاب.zip!بكاب_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده).xlsx,9dc6c3eefbeec02dbf18e9a1906e08581a92d46108ad6a08c94e63dbc387b08a,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
بوعلی|1397,بوعلی,1397,بوعلي.zip!بوعلي_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,601da23c3958146f6910d16c54ba06ad4034dfa355213833c9dcb09607ac15db,116696,495,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,بوعلي.zip!بوعلي_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,b68ced719b6db1ceb4519a244d8c1f4d2a08a0dfcf9dd558cb38d8cf608ff743,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
دشیمی|1393,دشیمی,1393,دشيمي.zip!دشيمي_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,321c617d4c380d4e85ce3cef7361fe0f88b433aae37f2e24d011803d7aa80526,73728,648,PAYLOAD_SUBSTANTIVE,,مقبول,,دشيمي.zip!دشيمي_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,78c9f37235226405d37129f85a9e6dd9d8a0613656d10b350f3f84cef6c11442,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
دسینا|1393,دسینا,1393,دسينا.zip!دسينا_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,9dfef1fd7cfbc81034c6bde4c2302939c574b66a6fa71ebbc31aaf3e037dd57c,73216,634,PAYLOAD_SUBSTANTIVE,,مقبول,,دسينا.zip!دسينا_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,c228198a4486e41ca548b544bebaa1edd9acc8eb541b572693545986cc1e5113,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
دسینا|1396,دسینا,1396,دسينا.zip!دسينا_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,01ed360e5185a31a15c44d05902f391dc1832c4f7cd7ae1c9bc4a9af62964819,79360,675,PAYLOAD_SUBSTANTIVE,,مقبول,,دسينا.zip!دسينا_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,6f879fcbf2f665fb1db6a62c01a218aa05d627d257baf323ca29a040b65068b0,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
فرآور|1401,فرآور,1401,فرآور.zip!فرآور_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,8d3f3be64c7fdec096ec5b892938a3b2890d87095107a0fe8e2812440f704a95,427588,2053,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,فرآور.zip!فرآور_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,eee8ac56f7642d2b9255ae1da2fb2e8a1a2f27ca4c88b71f2948832015a3249c,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
فارس|1399,فارس,1399,فارس.zip!فارس_۱۳۹۹_۰۳_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۳_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,2910c491672f98165d88b6102b348ca041f1a0477447a871838849f596770ba5,304075,2053,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,فارس.zip!فارس_۱۳۹۹_۰۳_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۳_۳۱ (حسابرسی شده).xlsx,786a7103ed7cce6748eb80e197574cf4def26e71dd212b66cedccdbd0f9c96c7,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
فباهنر|1394,فباهنر,1394,فباهنر.zip!فباهنر_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,b04ffa6c862c37bd4745f8cb4e81f1e61b50589ad46acecf006617452aa815cb,87040,719,PAYLOAD_SUBSTANTIVE,,مقبول,,فباهنر.zip!فباهنر_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,7f9be31341cda455e257acb2eb6e10d5cabadf3e02d9a3efb654edb3f7b98723,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
فسپا|1396,فسپا,1396,فسپا.zip!فسپا_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,c836ccdf0adfc21267cf6549e7b510e25d595ff217d8f0a703aee58bc8995549,80896,664,PAYLOAD_SUBSTANTIVE,,مشروط,,فسپا.zip!فسپا_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,07b712b693e4f6255e1fc1ff9f411dda068714f1913d97e6228289f65130f89f,مشروط,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
غسالم|1396,غسالم,1396,غسالم.zip!غسالم_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,de8d10f780e18c573cef15167f807bcc9edcd3adc20287d993cefc6b1b5831a7,75776,665,PAYLOAD_SUBSTANTIVE,,مقبول,,غسالم.zip!غسالم_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,88ff155057b42cdb13303e4282d27ac0b5d632b09fb273d01469e85767b0b163,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
فمراد|1399,فمراد,1399,فمراد.zip!فمراد_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,1e37819ad307e43c26ce0686829080a23b36167d6efe3dfa60d5abd5acd9650c,314608,1490,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,فمراد.zip!فمراد_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,0ed1f89ab6e8ee99526b00119a65bea34c3069385985f5cdc1d1339c7a36fa19,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
فنورد|1400,فنورد,1400,فنورد.zip!فنورد_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,64c184b37ee4767f97ee207cd261c0c9d0dc17e2486ca4ef4c860c40e679b478,2908,1,PAYLOAD_NON_SUBSTANTIVE,SUSPICIOUS_SMALL_PAYLOAD:2908_bytes,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,فنورد.zip!فنورد_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,d2dd81c6ad20e61e489889efbda57507c72e02913905c0cc32087bd2f3703ce3,UNVERIFIED,NO,original,MATCHED_SEPARATE_CORRECTION_REJECTED_ORIGINAL_RETAINED,CORRECTION_PAYLOAD_INVALID_OR_NON_SUBSTANTIVE_ORIGINAL_RETAINED,fiscal_year_end,fiscal_year_end,,,Correction payload failed the substantive-payload gate; healthy original retained for its own observed fields only.
فسرب|1401,فسرب,1401,فسرب.zip!فسرب_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,0fc6b257adb5832246b108044b07ca9d78db212a9fa2eb914b93623cc23d4dc7,450544,2198,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,فسرب.zip!فسرب_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,39032bf275c8b6280df465cc349e597c907508902c4298475a71b2f36aa37eb2,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
غگل|1392,غگل,1392,غگل.zip!غگل_۱۳۹۲_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,2bcd2d1dbdeeecdabf0821060ce84d73897948f749d348f35d90a7175cf8449c,81408,742,PAYLOAD_SUBSTANTIVE,,مقبول,,غگل.zip!غگل_۱۳۹۲_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۰۶_۳۱ (حسابرسی شده).xlsx,1f550670123a4b37fd01c97a8f3760848fc4adbcd76030e090a7d9b720de7ac2,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
غنوش|1393,غنوش,1393,غنوش.zip!غنوش_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,ae59402867c32f3116067ecd6aca02bb53014fadfa1f2aa615eb491d85aad5de,74240,642,PAYLOAD_SUBSTANTIVE,,مقبول,,غنوش.zip!غنوش_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,5865b1c7017f8c3ae8e85e170ffe1c5b5b6bcff330bfa929af6e0e04e951f700,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
کفرا|1399,کفرا,1399,كفرا.zip!كفرا_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,3229f5a34118a0f83e6f70cbdebe5592367a721cdd3c58dd11bf251144690e3c,316134,1508,PAYLOAD_SUBSTANTIVE,,UNVERIFIED,NO_AUDITOR_BLOCK_DETECTED,كفرا.zip!كفرا_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,01c390967aa3aa965e7bdd1dc69090071b015cf1e36ef9fd8685ca4527f577a1,UNVERIFIED,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end,fiscal_year_end,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
غشان|1393,غشان,1393,غشان.zip!غشان_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,a3e6053efe06802230a6ab390c5bf01b9127207da92b75e16f4d541485c98a20,82944,731,PAYLOAD_SUBSTANTIVE,,مقبول,,غشان.zip!غشان_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,b69abd5201ea71ed336144abedb85ba6b54811bb72d0ad3b244c08dd6b7c28ec,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
غشان|1395,غشان,1395,غشان.zip!غشان_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,f427be0ee0d8f0c44939e31398fea02fa97697a72ab2d825056016cc2592f024,88064,781,PAYLOAD_SUBSTANTIVE,,مقبول,,غشان.zip!غشان_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,b4ef7a23efc8d46be921eb91eaaef07a6d0c7631f79d5baa20e214b859b39595,مقبول,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
حکشتی|1393,حکشتی,1393,حكشتي.zip!حكشتي_۱۳۹۳_۰۳_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۳_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,1b66c1be3930c53c6cc2b8c32e82e65a7b472223404a7b8b17b8cb6a06063286,62464,314,PAYLOAD_SUBSTANTIVE,,مشروط,,حكشتي.zip!حكشتي_۱۳۹۳_۰۳_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۳_۳۱ (حسابرسی شده).xlsx,e01a08bb61ff9001b6c3c94f85c5608a819b107bd4510d54dc04bba13bbb1795,مشروط,YES,correction,MATCHED_SEPARATE_CORRECTION_SELECTED,CORRECTION_PAYLOAD_SUBSTANTIVE_SELECTED,fiscal_year_end|auditor_opinion_type|auditor_report_date,fiscal_year_end|auditor_opinion_type|auditor_report_date,,,Correction payload proven substantive; supersedes original. Values absent from it are NOT back-filled from the original.
