relative_path,issue,byte_size,sha256,detail
اردستان.zip!اردستان_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,PAYLOAD_NON_SUBSTANTIVE,3636,95931457e6b9a250cee4eb89371529c30642ed5c264168b41a3218e97ad85378,SUSPICIOUS_SMALL_PAYLOAD:3636_bytes | HTML_MISLABELED_XLSX
بالبر.zip!بالبر_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,4733,a215afaae31c900d47116cd7cd7906a3ae132fd93e0d317c06f91075d8128617,ONLY_1_CELLS | HTML_MISLABELED_XLSX
بكاب.zip!بكاب_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,4733,a215afaae31c900d47116cd7cd7906a3ae132fd93e0d317c06f91075d8128617,ONLY_1_CELLS | HTML_MISLABELED_XLSX
بموتو.zip!بموتو_۱۳۹۸_۰۶_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
تاپيكو.zip!تاپيكو_۱۴۰۲_۰۲_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۰۲_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3553,6e539a02e0c3cef16fb40bd9f4888e4cc03db137c589b97ef42e645c33fa0c44,SUSPICIOUS_SMALL_PAYLOAD:3553_bytes | HTML_MISLABELED_XLSX
چافست.zip!چافست_۱۳۹۸_۰۶_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
دسبحا.zip!دسبحا_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3267,1d0a3c78597bb3ecb47cb6a47ddbd15b9a412761a0d896f21b186440b2cc82f8,SUSPICIOUS_SMALL_PAYLOAD:3267_bytes | HTML_MISLABELED_XLSX
رمپنا.zip!رمپنا_۱۴۰۲_۰۱_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۰۱_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3604,e56cc535083c0ac6c8adfc88bb93833799eb3bb483697a9922bc9a688c8be669,SUSPICIOUS_SMALL_PAYLOAD:3604_bytes | HTML_MISLABELED_XLSX
ساربيل.zip!ساربيل_۱۳۹۸_۰۹_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۹_۳۰ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,4733,a215afaae31c900d47116cd7cd7906a3ae132fd93e0d317c06f91075d8128617,ONLY_1_CELLS | HTML_MISLABELED_XLSX
سپاها.zip!سپاها_۱۳۹۸_۰۶_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
سدشت.zip!سدشت_۱۳۹۸_۰۶_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
سكرد.zip!سكرد_۱۳۹۸_۰۶_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
سمازن.zip!سمازن_۱۳۹۸_۰۹_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۹_۳۰ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
سمازن.zip!سمازن_۱۳۹۸_۰۹_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۹_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
شپارس.zip!شپارس_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,4733,a215afaae31c900d47116cd7cd7906a3ae132fd93e0d317c06f91075d8128617,ONLY_1_CELLS | HTML_MISLABELED_XLSX
شكلر.zip!شكلر_۱۳۹۸_۰۵_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۵_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,4733,a215afaae31c900d47116cd7cd7906a3ae132fd93e0d317c06f91075d8128617,ONLY_1_CELLS | HTML_MISLABELED_XLSX
شيران.zip!شيران_۱۳۹۸_۰۹_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۰۹_۳۰ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
غگل.zip!غگل_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,4733,a215afaae31c900d47116cd7cd7906a3ae132fd93e0d317c06f91075d8128617,ONLY_1_CELLS | HTML_MISLABELED_XLSX
فارس.zip!فارس_۱۴۰۳_۰۳_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۳_۰۳_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,122998,6d977e4b9dddf43fd1ad6d502b332eaa9b8bfec2a15cde8b1ce7b6534652a615,NO_AUDITOR_BLOCK_NO_STATEMENT_GRID_NO_FISCAL_YEAR_END | HTML_MISLABELED_XLSX
فنورد.zip!فنورد_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,PAYLOAD_NON_SUBSTANTIVE,2908,64c184b37ee4767f97ee207cd261c0c9d0dc17e2486ca4ef4c860c40e679b478,SUSPICIOUS_SMALL_PAYLOAD:2908_bytes | HTML_MISLABELED_XLSX
فولاژ.zip!فولاژ_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,5930,9f6cd4f36ced7e029f8def6dda2786c53e4f6079715cb9e330fe4601988732d7,ONLY_1_CELLS | HTML_MISLABELED_XLSX
كاوه.zip!كاوه_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3922,77bc0d269600b7361cbc3c16d6d956409eafaa802ce1c87760ff5d387bbc975f,SUSPICIOUS_SMALL_PAYLOAD:3922_bytes | HTML_MISLABELED_XLSX
كگاز.zip!كگاز_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3194,7690a532ef1b79a8bb29301c7f2cca95420e50b29c29cfd843b336e99bce8a72,SUSPICIOUS_SMALL_PAYLOAD:3194_bytes | HTML_MISLABELED_XLSX
كهمدا.zip!كهمدا_۱۳۹۸_۰۳_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۳_۳۱ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,4733,a215afaae31c900d47116cd7cd7906a3ae132fd93e0d317c06f91075d8128617,ONLY_1_CELLS | HTML_MISLABELED_XLSX
كوير.zip!كوير_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3002,f0941247e2d66de804e33959905f2a4d445582e1463477aa9af7c93442f9b5c1,SUSPICIOUS_SMALL_PAYLOAD:3002_bytes | HTML_MISLABELED_XLSX
كوير.zip!كوير_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3002,f0941247e2d66de804e33959905f2a4d445582e1463477aa9af7c93442f9b5c1,SUSPICIOUS_SMALL_PAYLOAD:3002_bytes | HTML_MISLABELED_XLSX
كوير.zip!كوير_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3002,f0941247e2d66de804e33959905f2a4d445582e1463477aa9af7c93442f9b5c1,SUSPICIOUS_SMALL_PAYLOAD:3002_bytes | HTML_MISLABELED_XLSX
كوير.zip!كوير_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3002,f0941247e2d66de804e33959905f2a4d445582e1463477aa9af7c93442f9b5c1,SUSPICIOUS_SMALL_PAYLOAD:3002_bytes | HTML_MISLABELED_XLSX
لابسا.zip!لابسا_۱۴۰۱_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,PAYLOAD_NON_SUBSTANTIVE,3922,77bc0d269600b7361cbc3c16d6d956409eafaa802ce1c87760ff5d387bbc975f,SUSPICIOUS_SMALL_PAYLOAD:3922_bytes | HTML_MISLABELED_XLSX
