row_key,ticker,fiscal_year,auditor_report_date,auditor_report_date_location,auditor_report_date_anchor_text,auditor_report_date_context,auditor_block_sheet,auditor_block_start,auditor_block_end,date_inside_auditor_block,opinion_status,opinion_reject_reason,reviewer_conclusion,v43_opinion,v43_report_date,review_origin,source_relative_path,source_sha256
سآبیک|1392,سآبیک,1392,1393/04/07,Sheet1!R23C23,تاریخ تهیه گزارش @ Sheet1!R23C24,6. گزارش حسابرس و بازرس قانونی به پیوست ایفاد می گردد. ~ 07تیر1393 ~ تاریخ تهیه گزارش || SIGNATURE:NONE,Sheet1,9,26,YES,UNVERIFIED,NO_DECISIVE_OPINION_PARAGRAPH_IN_BLOCK;REFERRAL_TO_ATTACHMENT,DATE_BELONGS_TO_AUDITOR_BLOCK_OPINION_TEXT_DEFERRED_TO_ATTACHMENT,مشروط,1393/04/07,V4_3_1_DATE_WITHOUT_VERIFIED_OPINION,سآبيك.zip!سآبيك_۱۳۹۲_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۱۲_۲۹ (حسابرسی شده).xlsx,d2985360e6577b8d0e77f8c4a7669852c93422164019897fa395d3e16caada9c
سخوز|1392,سخوز,1392,1393/02/20,Sheet1!R23C23,تاریخ تهیه گزارش @ Sheet1!R23C24,4. گزارش حسابرس و بازرس قانونی به پیوست ارائه شده است. ~ 20اردیبهشت1393 ~ تاریخ تهیه گزارش || SIGNATURE:NONE,Sheet1,9,26,YES,UNVERIFIED,NO_DECISIVE_OPINION_PARAGRAPH_IN_BLOCK;REFERRAL_TO_ATTACHMENT,DATE_BELONGS_TO_AUDITOR_BLOCK_OPINION_TEXT_DEFERRED_TO_ATTACHMENT,NOT_FOUND,1393/02/20,V4_3_1_DATE_WITHOUT_VERIFIED_OPINION,سخوز.zip!سخوز_۱۳۹۲_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,b365567569209a5c278de1b1cd8932bc041261ec58ce36764e9e7c3807e7f579
دسینا|1394,دسینا,1394,1395/02/13,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1395/02/13,V4_3_DATE_WITHOUT_VERIFIED_OPINION,دسينا.zip!دسينا_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,b5f96fbf68cb15e01498b6cb2f82c466ecdf60b4c79575e703ac53d8d4f25e08
دسینا|1396,دسینا,1396,1397/03/06,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1397/03/06,V4_3_DATE_WITHOUT_VERIFIED_OPINION,دسينا.zip!دسينا_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,01ed360e5185a31a15c44d05902f391dc1832c4f7cd7ae1c9bc4a9af62964819
فسپا|1393,فسپا,1393,1394/04/10,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1394/04/10,V4_3_DATE_WITHOUT_VERIFIED_OPINION,فسپا.zip!فسپا_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,86177a2ebed9866a4bfdf76c7e8864501d7d390c7a7d736ccec160a237d673ea
غسالم|1392,غسالم,1392,1393/04/16,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1393/04/16,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غسالم.zip!غسالم_۱۳۹۲_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۱۲_۲۹ (حسابرسی شده).xlsx,5cd6cce1bccc8949eb294d1e8b0415ada1842e77fde42c869e90b8f695a86dde
غسالم|1393,غسالم,1393,1394/03/27,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1394/03/27,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غسالم.zip!غسالم_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,077f69c5401ad1c49b332a9ea122e14c069d69516ae099641c3606c3b3515f9a
غسالم|1394,غسالم,1394,1395/03/29,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1395/03/29,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غسالم.zip!غسالم_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,6c3b8c55f95abd4068e16ede5e92a1e85dea0caada58370289e2a5c9ac71b09a
غسالم|1395,غسالم,1395,1396/03/30,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1396/03/30,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غسالم.zip!غسالم_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,37af7d89828f2862146c8f1efe9ef4cd8a78e65e6b5552ecd0c92c34bd89e0f7
غسالم|1396,غسالم,1396,1397/04/09,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1397/04/09,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غسالم.zip!غسالم_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,de8d10f780e18c573cef15167f807bcc9edcd3adc20287d993cefc6b1b5831a7
غبهنوش|1392,غبهنوش,1392,1393/04/14,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1393/04/14,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غبهنوش.zip!غبهنوش_۱۳۹۲_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۱۲_۲۹ (حسابرسی شده).xlsx,27d7c6004096a85af41d5c4efd0cd0f179f8ce0e5b2157a96f69247e9b96e675
غبهنوش|1393,غبهنوش,1393,1394/04/11,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1394/04/11,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غبهنوش.zip!غبهنوش_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,6f66e04e0bd87495de77775b3e14125e6be08f87e9d54196f4a3ed8409754dd1
غبهنوش|1394,غبهنوش,1394,1395/04/19,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1395/04/19,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غبهنوش.zip!غبهنوش_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,d773f709ea8abe768cef513364e54db22d5b3d3e2167eb38c2799a0d08391209
غبهنوش|1395,غبهنوش,1395,1396/04/11,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1396/04/11,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غبهنوش.zip!غبهنوش_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,4e9e39c679a15320006747aa0d3cb943fb5b9f91d4853cd92c595ead47393652
غبهنوش|1396,غبهنوش,1396,1397/04/19,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1397/04/19,V4_3_DATE_WITHOUT_VERIFIED_OPINION,غبهنوش.zip!غبهنوش_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,bac3657cd8d791f246768c24dd55cf37ba766d995109f0813e3224ab903b0315
کگاز|1392,کگاز,1392,1393/04/04,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1393/04/04,V4_3_DATE_WITHOUT_VERIFIED_OPINION,كگاز.zip!كگاز_۱۳۹۲_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۱۲_۲۹ (حسابرسی شده).xlsx,de2a44c57d3755d93992c4a37390219d2a28cebb1a05261f61e0647291652ebb
کگاز|1393,کگاز,1393,1394/04/07,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1394/04/07,V4_3_DATE_WITHOUT_VERIFIED_OPINION,كگاز.zip!كگاز_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,e1592889c67e6f2e5f2c77c0b984081f7a6d9b50264cdb24f0cba1fc431887ce
لخزر|1394,لخزر,1394,1395/03/30,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1395/03/30,V4_3_DATE_WITHOUT_VERIFIED_OPINION,لخزر.zip!لخزر_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,a3936e171df6ff9edfb0d47ff4826063e18487923a9408b69c5788a433a12d72
لخزر|1395,لخزر,1395,1396/03/30,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1396/03/30,V4_3_DATE_WITHOUT_VERIFIED_OPINION,لخزر.zip!لخزر_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,788f129b18cd7ca3a85403d95905186c6ff9bc040639b4bfa321f07056f742f0
پلاسک|1396,پلاسک,1396,1397/03/30,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1397/03/30,V4_3_DATE_WITHOUT_VERIFIED_OPINION,پلاسك.zip!پلاسك_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,87bf4f40f63bbe3cacd16414a75e66836c7d308216bc42e56a2b43f07c9b8a43
سدشت|1394,سدشت,1394,1394/08/23,,,,DETECTED,,,YES,مقبول,,RESOLVED_IN_V4_3_1_OPINION_NOW_VERIFIED_IN_BLOCK,NOT_FOUND,1394/08/23,V4_3_DATE_WITHOUT_VERIFIED_OPINION,سدشت.zip!سدشت_۱۳۹۴_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۰۶_۳۱ (حسابرسی شده).xlsx,ef9be3c02e1faa0b2ef4b07b4533f1f1751a90f3a5d91f083b5b2c171d3ecbe2
