file,case,row_key,source_relative_path,source_sha256,opinion,report_date,fiscal_year_end
01_html_no_auditor_report_اپال__1396.txt,html_no_auditor_report,اپال|1396,اپال.zip!اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,f17825e1ca6e68ab6ee205fbbc3b354bf8a3ac0c8abcaf711fc33bef7992204b,UNVERIFIED,NOT_FOUND,1396/10/30
02_html_no_auditor_report_اپال__1397.txt,html_no_auditor_report,اپال|1397,اپال.zip!اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,a3a59081bf4a58b49c417f0044be61cd64660b1c82a99d629480edc171d83f1f,UNVERIFIED,NOT_FOUND,1397/10/30
03_html_no_auditor_report_اپال__1398.txt,html_no_auditor_report,اپال|1398,اپال.zip!اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,07a3ed181786874a661080efdc82791f3f428990c614b394e0012c02ba88aa2f,UNVERIFIED,NOT_FOUND,1398/10/30
04_qualified_بالبر__1393.txt,qualified,بالبر|1393,بالبر.zip!بالبر_۱۳۹۳_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۶_۳۱ (حسابرسی شده).xlsx,5fbcdbe018aa97d95ded66ad184e6aac6f83fb9cbd4ab6803ac62d316ae0c9c8,مشروط,1393/10/17,1393/06/31
05_qualified_بالبر__1394.txt,qualified,بالبر|1394,بالبر.zip!بالبر_۱۳۹۴_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۰۶_۳۱ (حسابرسی شده).xlsx,4f9c3d102a9943bc58514eda5329f18520f71746e625b10415a58aa1242991fb,مشروط,1394/09/10,1394/06/31
06_qualified_بالبر__1395.txt,qualified,بالبر|1395,بالبر.zip!بالبر_۱۳۹۵_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۰۶_۳۱ (حسابرسی شده).xlsx,4d35cc5ececc968c889ac6122abdf593fc07d20fc5b99b21744f4f9843ec603c,مشروط,1395/09/21,1395/06/31
07_qualified_بالبر__1396.txt,qualified,بالبر|1396,بالبر.zip!بالبر_۱۳۹۶_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۰۶_۳۱ (حسابرسی شده).xlsx,4706205c382cb88fb8b4e80459a352683561cb25d8202bc9865e74cba339d379,مشروط,1396/10/02,1396/06/31
08_correction_valid_بالبر__1399.txt,correction_valid,بالبر|1399,بالبر.zip!بالبر_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,0d891ebda4bfca1b51ab8541fb04ed12bad842286b5b21c2cda7a5f5646e2edf,UNVERIFIED,NOT_FOUND,1399/06/31
09_unqualified_بترانس__1393.txt,unqualified,بترانس|1393,بترانس.zip!بترانس_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,8518139b111dc5005ab347933a026fd3a3f4ca0062d4f9ab6488ff4e8d6dbdd0,مقبول,1394/03/24,1393/12/29
10_unqualified_برکت__1394.txt,unqualified,برکت|1394,بركت.zip!بركت_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,aca0cabfdc4b253e530746690fc0e16441b5bb9ab144879cc780d355b5bd5206,مقبول,1395/03/25,1394/12/29
