row_key,relative_path,scope,audited_marker,correction_marker,payload_verdict,selected,exception_type,sha256
بالبر|1399,بالبر.zip!بالبر_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده).xlsx,separate,audited,original,PAYLOAD_SUBSTANTIVE,NO,MATCHED_SEPARATE_CORRECTION_SELECTED,28dae681d8a4d3da15a1567dc2a7626afc74092276f4d3efdd6f0f6b640cfe74
بالبر|1399,بالبر.zip!بالبر_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,separate,audited,correction,PAYLOAD_SUBSTANTIVE,YES,MATCHED_SEPARATE_CORRECTION_SELECTED,0d891ebda4bfca1b51ab8541fb04ed12bad842286b5b21c2cda7a5f5646e2edf
بکاب|1397,بكاب.zip!بكاب_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده).xlsx,separate,audited,original,PAYLOAD_SUBSTANTIVE,NO,MATCHED_SEPARATE_CORRECTION_SELECTED,9dc6c3eefbeec02dbf18e9a1906e08581a92d46108ad6a08c94e63dbc387b08a
بکاب|1397,بكاب.zip!بكاب_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,separate,audited,correction,PAYLOAD_SUBSTANTIVE,YES,MATCHED_SEPARATE_CORRECTION_SELECTED,e686beecc5ab31d9550cbd60762e9ca72950e24b00ed04775d26bc8f62922a7d
بکام|1399,بكام.zip!بكام_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,consolidated,audited,original,PAYLOAD_SUBSTANTIVE,NO,ONLY_CONSOLIDATED_AVAILABLE,72245820fb1a2d90d95f71ae128efff06e0bd99b801ac16d40625ef33f52f76e
بکام|1399,بكام.zip!بكام_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,consolidated,audited,correction,PAYLOAD_SUBSTANTIVE,NO,ONLY_CONSOLIDATED_AVAILABLE,ea72e3e6fed466dc15fa3d42c304db67693833dbad47240d6b496248c28cf151
بکام|1402,بكام.zip!بكام_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,consolidated,audited,original,PAYLOAD_SUBSTANTIVE,NO,ONLY_CONSOLIDATED_AVAILABLE,56e9be24e9cfaa6d0206cfe32032c416a30d4023d3d087338b7ac823bdf4b8c1
بکام|1402,بكام.zip!بكام_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,consolidated,audited,correction,PAYLOAD_SUBSTANTIVE,NO,ONLY_CONSOLIDATED_AVAILABLE,41c80cafd61e7c2e6c43d480239296624b2c265a8ee995ee4dd4b2fbb16069aa
بوعلی|1397,بوعلي.zip!بوعلي_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,separate,audited,original,PAYLOAD_SUBSTANTIVE,NO,MATCHED_SEPARATE_CORRECTION_SELECTED,b68ced719b6db1ceb4519a244d8c1f4d2a08a0dfcf9dd558cb38d8cf608ff743
بوعلی|1397,بوعلي.zip!بوعلي_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,separate,audited,correction,PAYLOAD_SUBSTANTIVE,YES,MATCHED_SEPARATE_CORRECTION_SELECTED,601da23c3958146f6910d16c54ba06ad4034dfa355213833c9dcb09607ac15db
چافست|1401,چافست.zip!چافست_۱۴۰۱_۰۶_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۰۶_۳۱ (حسابرسی شده).xlsx,consolidated,audited,original,PAYLOAD_SUBSTANTIVE,NO,ONLY_CONSOLIDATED_AVAILABLE,80e4c695cf095d0d57fd568133edb93db3c01731f24168c1f2aa29574d1a2729
چافست|1401,چافست.zip!چافست_۱۴۰۱_۰۶_۳۱_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,consolidated,audited,correction,PAYLOAD_SUBSTANTIVE,NO,ONLY_CONSOLIDATED_AVAILABLE,970d1469dfe14918e6682e2130b9c871958c51a597eda234202eb6b3aa71d21b
دشیمی|1393,دشيمي.zip!دشيمي_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,separate,audited,original,PAYLOAD_SUBSTANTIVE,NO,MATCHED_SEPARATE_CORRECTION_SELECTED,78c9f37235226405d37129f85a9e6dd9d8a0613656d10b350f3f84cef6c11442
