term_order,term,term_type,effect_scale,coefficient_beta,odds_ratio_exp_beta,standardization_mean,standardization_std,interpretation_class
0,(intercept),intercept,baseline_log_odds_at_standardized_feature_means_and_all_indicators_zero,-0.763911411758,0.465840763836272,,,not_an_association_baseline_term
1,log_total_assets,standardized_continuous_feature,odds_ratio_per_1_SD_increase,-0.19520805906,0.8226634776589616,14.685821889287,1.589524334688,regularized_conditional_association
2,leverage_ratio,standardized_continuous_feature,odds_ratio_per_1_SD_increase,0.663684563254,1.9419343486631424,0.56171432781,0.207012453663,regularized_conditional_association
3,current_ratio,standardized_continuous_feature,odds_ratio_per_1_SD_increase,0.137463730074,1.147360090551803,1.642508817492,1.765704403898,regularized_conditional_association
4,roa_period_adjusted,standardized_continuous_feature,odds_ratio_per_1_SD_increase,-0.381668897564,0.6827210663947583,0.116233183675,0.133878571898,regularized_conditional_association
5,ocf_to_assets_period_adjusted,standardized_continuous_feature,odds_ratio_per_1_SD_increase,-0.490395638824,0.6123840633391759,0.118394378864,0.112828916301,regularized_conditional_association
6,asset_turnover_period_adjusted,standardized_continuous_feature,odds_ratio_per_1_SD_increase,0.080845687786,1.0842035778029104,0.961419044168,0.833341617848,regularized_conditional_association
7,operating_margin_period_adjusted,standardized_continuous_feature,odds_ratio_per_1_SD_increase,0.183025212532,1.2008446840341858,0.19433242999,0.22655925658,regularized_conditional_association
8,financial_expense_to_assets_period_adjusted,standardized_continuous_feature,odds_ratio_per_1_SD_increase,-0.1161911309,0.8903050422305644,-0.033520098154,0.033445931809,regularized_conditional_association
9,accumulated_loss_to_capital_ratio,standardized_continuous_feature,odds_ratio_per_1_SD_increase,0.809558129623,2.2469149221459945,0.113619830106,0.282946926781,regularized_conditional_association
10,log_total_assets__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,0.0,1.0,,,regularized_conditional_association
11,leverage_ratio__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,0.0,1.0,,,regularized_conditional_association
12,current_ratio__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,0.0,1.0,,,regularized_conditional_association
13,roa_period_adjusted__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,0.0,1.0,,,regularized_conditional_association
14,ocf_to_assets_period_adjusted__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,0.212061732053,1.2362241973806942,,,regularized_conditional_association
15,asset_turnover_period_adjusted__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,0.0,1.0,,,regularized_conditional_association
16,operating_margin_period_adjusted__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,-0.099474732555,0.9053128245215161,,,regularized_conditional_association
17,financial_expense_to_assets_period_adjusted__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,-0.01969263415,0.9804999992114193,,,regularized_conditional_association
18,accumulated_loss_to_capital_ratio__missing,binary_missingness_indicator,odds_ratio_for_indicator_1_versus_0,0.0,1.0,,,regularized_conditional_association
